ID Caso	ID Caso Relacionado	Año	Mes	Día	Código DANE de Municipio	Municipio	Departamento	Región	Modalidad	Presunto Responsable	Descripción Presunto Responsable	Abandono o Despojo Forzado de Tierras	Amenaza o Intimidación	Ataque Contra Misión Médica	Confinamiento o Restricción a la Movilidad	Desplazamiento Forzado	Extorsión	Lesionados Civiles	Pillaje	Tortura	Violencia Basada en Género	Otro Hecho Simultáneo	Total Combatientes	Total Civiles	Total Civiles y Combatientes	Total de Víctimas del Caso	Tipo de Armas	Tipo de Evento	Total Civiles y Combatientes Heridos	Latitud	Longitud
577614		1984	03	26	18001	FLORENCIA	CAQUETA	FLORENCIA Y AREA DE INFLUENCIA	ATENTADO	GUERRILLA	M19	0	0	0	0	0	0	0	0	0			1	0	1	1	MINAS ANTIPERSONAL  MAP 	ATENTADO POR MAP	0	1.61792293	-75.60856043
577735		1984	09	29	76001	CALI	VALLE DEL CAUCA	SUR DEL VALLE	AFECTACIÓN	GUERRILLA	M19	0	0	0	0	0	0	1	0	0			0	0	1	1	ARTEFACTO EXPLOSIVO	AFECTACIÓN POR MUSE	0	3.414414305	-76.52156515
445337		1985	04	14	19821	TORIBIO	CAUCA	NORTE DEL CAUCA	SIN INFORMACIÓN	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	2.951450409	-76.27112721
445338		1985	09	07	05001	MEDELLIN	ANTIOQUIA	VALLE DE ABURRA	SIN INFORMACIÓN	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	6.246715564	-75.58171333
445339		1985	09	08	73168	CHAPARRAL	TOLIMA	SUR DEL TOLIMA	SIN INFORMACIÓN	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	3.723068376	-75.48074305
555283		1985	08	12	11001	"BOGOTA, D.C."	"BOGOTA, D. C."	AREA METROPOLITANA DE BOGOTA	INCIDENTE	GUERRILLA	M19	0	0	0	0	0	0	0	0	0			0	0	0	0	MINAS ANTIPERSONAL  MAP 	DESMINADO MILITAR EN OPERACIONES	0	4.65017303	-74.107359
445340		1986	04	01	52540	POLICARPA	NARIÑO	PATIA	SIN INFORMACIÓN	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	1.62813872	-77.45926539
445341		1987	01	04	19743	SILVIA	CAUCA	NORTE DEL CAUCA	SIN INFORMACIÓN	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	2.611815645	-76.37957042
445342		1987	04	27	81065	ARAUQUITA	ARAUCA	SARARE	SIN INFORMACIÓN	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	7.026981415	-71.42675118
445343		1987	07	07	70265	GUARANDA	SUCRE	LA MOJANA	SIN INFORMACIÓN	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	8.464847043	-74.53834542
445344		1987	10	01	27660	SAN JOSE DEL PALMAR	CHOCO	VALLE DE SAN JUAN	SIN INFORMACIÓN	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	4.89759308	-76.23284882
445345		1987	10	28	05197	COCORNA	ANTIOQUIA	ORIENTE ANTIOQUEÑO	SIN INFORMACIÓN	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	6.058306335	-75.18548101
444893	CR027109	1988	03	19	23464	MOMIL	CORDOBA	NORTE DE CORDOBA	AFECTACIÓN	GUERRILLA	EPL	0	0	0	0	0	0	0	0	0			0	2	3	3	MUNICIONES SIN EXPLOTAR  MUSE 	AFECTACIÓN POR MUSE	0	9.240711917	-75.67796062
445268	CR003152	1988	03	19	23464	MOMIL	CORDOBA	NORTE DE CORDOBA	AFECTACIÓN	GRUPO PARAMILITAR	NO IDENTIFICADO	0	0	0	0	1	0	1	0	0			0	2	3	3	MUNICIONES SIN EXPLOTAR  MUSE 	AFECTACIÓN POR MUSE	0	9.240711917	-75.67796062
445346		1988	04	11	20011	AGUACHICA	CESAR	MAGDALENA MEDIO	SIN INFORMACIÓN	GRUPO PARAMILITAR	NO IDENTIFICADO	0	0	0	0	0	0	0	0	0			0	0	0	1	ND	SIN INFORMACIÓN	0	8.310336958	-73.59902859
444941		1989	03	03	52612	RICAURTE	NARIÑO	ANDEN PACIFICO SUR	ATENTADO	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	1	0	0	0	0	0	0	0			0	1	1	1	MINAS ANTIPERSONAL  MAP 	ATENTADO POR MAP	0	1.212931458	-77.99544487
444975		1989	10	07	05361	ITUANGO	ANTIOQUIA	NORTE DE ANTIOQUIA	ATENTADO	GUERRILLA	NO IDENTIFICADA	0	1	0	0	1	0	0	0	0			0	0	1	1	MINAS ANTIPERSONAL  MAP 	ATENTADO POR MAP	0	7.17162903	-75.76467317
445058		1989	07	29	50711	VISTAHERMOSA	META	ARIARI GUAYABERO	ATENTADO	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			0	9	9	9	ARTEFACTOS EXPLOSIVOS IMPROVISADOS  AEI 	ATENTADO POR AIE	0	3.1257521	-73.75116676
