ID Caso	ID Caso Relacionado	Año	Mes	Día	Código DANE de Municipio	Municipio	Departamento	Región	Modalidad	Presunto Responsable	Descripción Presunto Responsable	Abandono o Despojo Forzado de Tierras	Amenaza o Intimidación	Ataque Contra Misión Médica	Confinamiento o Restricción a la Movilidad	Desplazamiento Forzado	Extorsión	Lesionados Civiles	Pillaje	Tortura	Violencia Basada en Género	Otro Hecho Simultáneo	Total de Víctimas del Caso	Forma de Vinculación	Tipo de Vinculación	Latitud	Longitud
316981		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
316982		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
316983		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
316984		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
316985		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
316986		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
316987		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
316988		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
316989		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
316990		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
316991		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
316992		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
316993		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
316994		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
316995		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
316996		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
316997		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
316998		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
316999		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
317000		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
317001		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
317002		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
317003		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
317004		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
317007		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
317008		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	DESCONOCIDA	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	0	0	0	0	0	0	0	0			1	SIN INFORMACIÓN	SIN INFORMACIÓN	4	-72
