ID Caso	ID Caso Relacionado	Año	Mes	Día	Código DANE de Municipio	Municipio	Departamento	Región	Grupo Armado 1	Descripción Grupo Armado 1	Grupo Armado 2	Descripción Grupo Armado 2	Grupo Armado 3	Descripción Grupo Armado 3	Abandono o Despojo Forzado de Tierras	Amenaza o Intimidación	Ataque Contra Misión Médica	Confinamiento o Restricción a la Movilidad	Desplazamiento Forzado	Extorsión	Lesionados Civiles	Pillaje	Tortura	Violencia Basada en Género	Otro Hecho Simultáneo	Grupo al que Pertenecen los Capturados	Capturados	Escudo Humano	Lesionados Combatientes	Militares	Policías	Otras Fuerzas Armadas Estatales	Agentes del Estado Sin Información	Total Agentes del Estado	Guerrilleros	Paramilitares	Grupos Posdesmovilización	Combatientes Sin Información	Otros Grupos Armados Organizados	Total Combatientes de Grupos Armados Organizados	Total Combatientes	Personas Sin Información	Total Civiles	Ventaja Militar	Total de Víctimas del Caso	Latitud	Longitud
34696	CR000043	1988	11	12	15183	CHITA	BOYACA	ALTIPLANO CUNDIBOYACENSE	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	ELN			0	0	0	0	0	0	1	0	0				0	0	0	0	3	0	0	3	0	0	0	0	0	0	3	0	0	GRUPOS ARMADOS ORGANIZADOS	3	6.187082996	-72.47189235
34697		1988	11	29	68820	TONA	SANTANDER	PROVINCIA DE SOTO	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	ELN			0	0	0	0	0	0	0	0	0				0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	GRUPOS ARMADOS ORGANIZADOS	1	7.186250037	-72.87820252
34698	CR003045	1988	12	04	05400	LA UNION	ANTIOQUIA	ORIENTE ANTIOQUEÑO	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	EPL			0	0	0	0	0	0	2	0	0				0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GRUPOS ARMADOS ORGANIZADOS	0	5.973868218	-75.3608659
34699	CR003046	1988	12	16	05647	SAN ANDRES DE CUERQUIA	ANTIOQUIA	NORTE DE ANTIOQUIA	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	EPL			0	0	0	0	0	0	1	1	0				0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GRUPOS ARMADOS ORGANIZADOS	0	6.916808512	-75.67473253
34700		1988	12	27	13744	SIMITI	BOLIVAR	MAGDALENA MEDIO	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	FARC			0	0	0	0	0	0	1	0	0				0	0	3	0	1	0	0	1	3	0	0	0	0	3	4	0	3	GRUPOS ARMADOS ORGANIZADOS	7	7.954176376	-73.94731196
34701	CR003047	1989	02	10	19693	SAN SEBASTIAN	CAUCA	MACIZO COLOMBIANO	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	COORDINADORA GUERRILLERA SIMÓN BOLÍVAR			0	0	0	0	0	0	1	0	0				0	0	2	0	5	0	0	5	0	0	0	0	0	0	5	0	0	GRUPOS ARMADOS ORGANIZADOS	5	1.899975422	-76.67177213
34702	CR003048	1989	06	25	05400	LA UNION	ANTIOQUIA	ORIENTE ANTIOQUEÑO	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	ELN			0	0	0	0	0	0	1	1	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NINGUNO	0	5.973868218	-75.3608659
34703	CR003050	1989	10	25	54128	CACHIRA	NORTE DE SANTANDER	PROVINCIA DE RICAURTE	AGENTE DEL ESTADO	POLICÍA NACIONAL	GUERRILLA	ELN			0	0	0	0	0	0	0	0	0				0	0	4	0	1	0	0	1	1	0	0	0	0	1	2	0	0	GRUPOS ARMADOS ORGANIZADOS	2	7.740905158	-73.04874552
34706	CR003052	1990	01	16	05480	MUTATA	ANTIOQUIA	URABA	AGENTE DEL ESTADO	POLICÍA NACIONAL	GRUPO ARMADO NO DIRIMIDO	NO APLICA			0	0	0	0	0	0	0	1	0				0	0	6	0	4	0	0	4	0	0	0	0	0	0	4	0	0	GRUPOS ARMADOS ORGANIZADOS	4	7.242875057	-76.4358754
34707	CR007108	2000	07	12	41206	COLOMBIA	HUILA	NORTE DEL HUILA	AGENTE DEL ESTADO	EJÉRCITO NACIONAL	GUERRILLA	FARC			0	0	0	0	0	0	2	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	GRUPOS ARMADOS ORGANIZADOS	5	3.376977129	-74.80281318
