ID Caso	ID Caso Relacionado	Año	Mes	Día	Código DANE de Municipio	Municipio	Departamento	Región	Modalidad	Presunto Responsable	Descripción Presunto Responsable	Abandono o Despojo Forzado de Tierras	Amenaza o Intimidación	Ataque Contra Misión Médica	Confinamiento o Restricción a la Movilidad	Desplazamiento Forzado	Extorsión	Lesionados Civiles	Pillaje	Tortura	Violencia Basada en Género	Otro Hecho Simultáneo	Total de Víctimas del Caso	Tipo de Armas	Latitud	Longitud
359663		0000	00	00	70713	SAN ONOFRE	SUCRE	MONTES DE MARIA	RETENCIÓN	GRUPO PARAMILITAR	AUTODEFENSAS UNIDAS DE COLOMBIA AUC	0	1	0	0	0	0	0	0	0	TRABAJO DOMÉSTICO FORZADO		2	ND	9.897567531	-75.573028
359665	CR009043	0000	00	00	54810	TIBU	NORTE DE SANTANDER	CATATUMBO	DESCONOCIDA	GRUPO PARAMILITAR	NO IDENTIFICADO	0	0	0	0	0	0	0	0	0	DISCRIMINACIÓN POR GÉNERO		1	ND	8.639548853	-72.73591863
359666		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	COERCIÓN	GRUPO PARAMILITAR	NO IDENTIFICADO	0	1	0	0	0	0	0	0	0	MATRIMONIO O COHABITACIÓN FORZADA		1	ND	4	-72
359667	CR009056	0000	00	00	50000	SIN INFORMACION	META		ASALTO	GRUPO POSDESMOVILIZACIÓN	OTRO	0	1	0	0	1	0	0	0	0	VIOLENCIA FÍSICA		2	ARMA DE FUEGO	4.733969909	-71.10816614
359669		0000	00	00	50000	SIN INFORMACION	META		ASALTO	GRUPO PARAMILITAR	AUTODEFENSAS UNIDAS DE COLOMBIA AUC	0	1	0	0	1	0	0	0	0	TRABAJO DOMÉSTICO FORZADO		1	ND	4.733969909	-71.10816614
359670		0000	00	00	50711	VISTAHERMOSA	META	ARIARI GUAYABERO	CITACIÓN	GRUPO PARAMILITAR	AUTODEFENSAS UNIDAS DE COLOMBIA AUC	0	1	0	0	0	0	0	0	0			1	ND	3.070093763	-73.80872388
359671	CR004864	0000	00	00	50000	SIN INFORMACION	META		DESCONOCIDA	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			1	ND	4.733969909	-71.10816614
359673		0000	00	00	11001	"BOGOTA, D.C."	"BOGOTA, D. C."	AREA METROPOLITANA DE BOGOTA	ASALTO	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	1	0	0	1	0	0	0	0			1	ARMA DE FUEGO	4.65017303	-74.107359
359675		0000	00	00	00000	SIN INFORMACION	SIN INFORMACION	SIN INFORMACION	CHANTAJE	GRUPO ARMADO NO IDENTIFICADO	NO APLICA	0	1	0	0	0	0	0	0	0			1	ND	4	-72
359676		0000	00	00	19110	BUENOS AIRES	CAUCA	NORTE DEL CAUCA	DESCONOCIDA	GRUPO PARAMILITAR	NO IDENTIFICADO	0	0	0	0	0	0	0	0	0			1	ND	3.01542683	-76.64228059
359677		0000	00	00	68001	BUCARAMANGA	SANTANDER	PROVINCIA DE SOTO	DESCONOCIDA	AGENTE DEL ESTADO	POLICÍA NACIONAL	0	0	0	0	0	0	0	0	0			1	ND	7.116267276	-73.13259818
359678		0000	00	00	20710	SAN ALBERTO	CESAR	MAGDALENA MEDIO	ASALTO	GRUPO PARAMILITAR	AUTODEFENSAS UNIDAS DE COLOMBIA AUC	0	0	0	0	0	0	0	0	0			1	ND	7.76082642	-73.39422534
359679		0000	00	00	68081	BARRANCABERMEJA	SANTANDER	MAGDALENA MEDIO	DESCONOCIDA	GRUPO PARAMILITAR	AUTODEFENSAS UNIDAS DE COLOMBIA AUC	0	0	0	0	0	0	0	0	0			1	ND	7.064963864	-73.84995698
359681		0000	00	00	20001	VALLEDUPAR	CESAR	SIERRA NEVADA DE SANTA MARTA	DESCONOCIDA	GUERRILLA	NO IDENTIFICADA	0	0	0	0	0	0	0	0	0			1	ND	10.46048122	-73.25938931
359682		0000	00	00	18410	LA MONTAÑITA	CAQUETA	FLORENCIA Y AREA DE INFLUENCIA	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	ND	1.479172635	-75.43640776
359683		0000	00	00	66001	PEREIRA	RISARALDA	EJE CAFETERO	DESCONOCIDA	DESCONOCIDO	NO APLICA	0	0	0	0	0	0	0	0	0			1	ND	4.805680265	-75.71712306
